case_id,pkt_id,src_rid,dst_rid,msg_class,vc_id,pkt_len,inject_cycle,finish_cycle,latency,status,error_code
393,898,7,2,REQ,1,7,3348633,3348657,24,PASS,PASS
393,899,6,7,REQ,1,4,3348633,3348645,12,PASS,PASS
394,900,5,0,RESP,3,6,3365684,3365706,22,PASS,PASS
394,901,4,8,RESP,2,7,3365684,3365705,21,PASS,PASS
394,902,1,3,REQ,0,4,3365684,3365699,15,PASS,PASS
395,903,5,7,REQ,1,4,3382735,3382750,15,PASS,PASS
395,904,4,8,REQ,0,2,3382735,3382746,11,PASS,PASS
395,905,2,4,RESP,2,6,3382735,3382754,19,PASS,PASS
396,906,4,6,REQ,1,6,3399786,3399805,19,PASS,PASS
396,907,8,3,REQ,1,5,3399786,3399806,20,PASS,PASS
396,908,5,3,REQ,1,4,3399786,3399801,15,PASS,PASS
397,909,6,2,REQ,0,7,3416837,3416864,27,PASS,PASS
397,910,4,3,REQ,1,7,3416837,3416855,18,PASS,PASS
397,911,1,4,RESP,3,7,3416837,3416855,18,PASS,PASS
398,912,0,4,REQ,1,2,3433888,3433899,11,PASS,PASS
398,913,3,6,RESP,2,2,3433888,3433896,8,PASS,PASS
398,914,4,6,RESP,2,3,3433888,3433901,13,PASS,PASS
399,915,0,2,RESP,2,4,3450939,3450954,15,PASS,PASS
399,916,4,2,RESP,3,7,3450939,3450961,22,PASS,PASS
399,917,7,4,REQ,0,3,3450939,3450949,10,PASS,PASS
400,918,1,3,REQ,0,2,3467990,3468001,11,PASS,PASS
400,919,2,0,RESP,3,7,3467990,3468011,21,PASS,PASS
400,920,6,8,REQ,1,5,3467990,3468007,17,PASS,PASS
401,921,3,2,RESP,3,5,3485041,3485061,20,PASS,PASS
401,922,7,0,RESP,3,6,3485041,3485063,22,PASS,PASS
401,923,0,3,REQ,0,5,3485041,3485055,14,PASS,PASS
402,924,5,4,REQ,0,4,3502092,3502104,12,PASS,PASS
402,925,8,0,RESP,2,3,3502092,3502111,19,PASS,PASS
402,926,2,7,RESP,2,4,3502092,3502110,18,PASS,PASS
403,927,4,2,REQ,0,2,3519143,3519154,11,PASS,PASS
403,928,3,8,RESP,3,6,3519143,3519165,22,PASS,PASS
403,929,8,4,REQ,1,7,3519143,3519164,21,PASS,PASS
404,930,6,5,RESP,2,2,3536194,3536208,14,PASS,PASS
404,931,8,7,RESP,2,3,3536194,3536204,10,PASS,PASS
404,932,4,6,REQ,1,7,3536194,3536215,21,PASS,PASS
405,933,1,7,RESP,2,2,3553245,3553256,11,PASS,PASS
405,934,5,0,RESP,2,7,3553245,3553269,24,PASS,PASS
405,935,6,3,REQ,0,4,3553245,3553257,12,PASS,PASS
406,936,7,8,REQ,1,5,3570296,3570310,14,PASS,PASS
406,937,1,2,REQ,1,2,3570296,3570304,8,PASS,PASS
406,938,8,2,RESP,3,6,3570296,3570315,19,PASS,PASS
407,939,5,1,REQ,0,7,3587347,3587368,21,PASS,PASS
407,940,3,8,RESP,3,2,3587347,3587361,14,PASS,PASS
407,941,6,0,RESP,2,6,3587347,3587366,19,PASS,PASS
408,942,2,5,RESP,2,6,3604398,3604414,16,PASS,PASS
408,943,6,2,RESP,2,2,3604398,3604415,17,PASS,PASS
408,944,5,8,RESP,3,7,3604398,3604416,18,PASS,PASS
409,945,3,4,REQ,0,2,3621449,3621457,8,PASS,PASS
409,946,7,5,REQ,0,2,3621449,3621460,11,PASS,PASS
409,947,1,7,REQ,0,7,3621449,3621470,21,PASS,PASS
410,948,2,6,REQ,0,4,3638500,3638521,21,PASS,PASS
410,949,4,8,REQ,1,4,3638500,3638515,15,PASS,PASS
