case_id,pkt_id,src_rid,dst_rid,msg_class,vc_id,pkt_len,inject_cycle,finish_cycle,latency,status,error_code
2865,3364,8,4,RESP,2,4,,,15,PASS,PASS
2865,3365,0,1,RESP,2,5,,,14,PASS,PASS
2866,3366,7,6,REQ,0,6,,,16,PASS,PASS
2866,3367,0,3,RESP,3,3,,,10,PASS,PASS
2866,3368,1,2,REQ,0,5,,,14,PASS,PASS
2867,3369,3,8,RESP,2,4,,,18,PASS,PASS
2867,3370,1,7,REQ,0,2,,,11,PASS,PASS
2867,3371,8,7,RESP,2,4,,,12,PASS,PASS
2868,3372,4,0,REQ,0,2,,,11,PASS,PASS
2868,3373,0,6,RESP,3,5,,,17,PASS,PASS
2868,3374,7,1,REQ,1,2,,,11,PASS,PASS
2869,3375,4,5,RESP,2,4,,,12,PASS,PASS
2869,3376,6,2,REQ,0,5,,,23,PASS,PASS
2869,3377,2,4,RESP,2,6,,,19,PASS,PASS
2870,3378,1,6,REQ,1,6,,,22,PASS,PASS
2870,3379,8,0,RESP,2,7,,,27,PASS,PASS
2870,3380,0,5,REQ,1,7,,,24,PASS,PASS
2871,3381,8,0,REQ,0,3,,,19,PASS,PASS
2871,3382,1,2,RESP,3,4,,,12,PASS,PASS
2871,3383,0,6,REQ,0,7,,,21,PASS,PASS
2872,3384,2,1,RESP,2,4,,,12,PASS,PASS
2872,3385,6,7,REQ,1,3,,,10,PASS,PASS
2872,3386,3,1,RESP,3,6,,,19,PASS,PASS
2873,3387,7,5,RESP,3,5,,,17,PASS,PASS
2873,3388,4,0,REQ,1,5,,,17,PASS,PASS
2873,3389,2,1,RESP,2,6,,,16,PASS,PASS
2874,3390,3,2,REQ,1,6,,,22,PASS,PASS
2874,3391,8,6,REQ,1,7,,,21,PASS,PASS
2874,3392,2,0,RESP,2,3,,,13,PASS,PASS
2875,3393,4,2,RESP,2,3,,,13,PASS,PASS
2875,3394,1,6,REQ,1,3,,,16,PASS,PASS
2875,3395,6,5,REQ,1,6,,,22,PASS,PASS
2876,3396,6,3,REQ,1,3,,,10,PASS,PASS
2876,3397,5,8,RESP,3,5,,,14,PASS,PASS
2876,3398,0,1,RESP,3,2,,,8,PASS,PASS
2877,3399,0,6,RESP,2,5,,,17,PASS,PASS
2877,3400,7,3,REQ,0,4,,,15,PASS,PASS
2877,3401,1,8,RESP,3,6,,,22,PASS,PASS
2878,3402,2,5,REQ,1,3,,,10,PASS,PASS
2878,3403,8,3,REQ,1,5,,,20,PASS,PASS
2878,3404,5,4,RESP,3,5,,,14,PASS,PASS
2879,3405,0,6,RESP,3,7,,,21,PASS,PASS
2879,3406,1,2,RESP,2,6,,,16,PASS,PASS
2879,3407,8,1,RESP,2,7,,,24,PASS,PASS
2880,3408,4,7,REQ,1,6,,,16,PASS,PASS
2880,3409,8,6,REQ,0,5,,,17,PASS,PASS
2880,3410,6,1,REQ,1,6,,,22,PASS,PASS
2881,3411,5,4,REQ,0,4,,,12,PASS,PASS
2881,3412,0,3,RESP,3,6,,,16,PASS,PASS
2881,3413,3,0,RESP,3,2,,,8,PASS,PASS
2882,3414,5,3,REQ,0,2,,,11,PASS,PASS
2882,3415,0,5,REQ,1,7,,,24,PASS,PASS
2882,3416,7,8,RESP,2,7,,,18,PASS,PASS
2883,3417,8,6,REQ,0,6,,,20,PASS,PASS
2883,3418,2,6,RESP,3,3,,,19,PASS,PASS
2883,3419,4,5,REQ,1,5,,,14,PASS,PASS
2884,3420,4,6,REQ,1,6,,,19,PASS,PASS
2884,3421,6,3,REQ,1,4,,,12,PASS,PASS
2884,3422,5,8,RESP,3,2,,,8,PASS,PASS
2885,3423,2,1,RESP,3,5,,,14,PASS,PASS
2885,3424,3,8,RESP,2,6,,,22,PASS,PASS
2885,3425,8,0,REQ,1,4,,,21,PASS,PASS
2886,3426,1,2,RESP,3,4,,,12,PASS,PASS
2886,3427,6,0,REQ,0,6,,,19,PASS,PASS
2886,3428,8,7,RESP,3,6,,,16,PASS,PASS
2887,3429,5,6,REQ,0,3,,,16,PASS,PASS
2887,3430,3,5,REQ,0,7,,,21,PASS,PASS
2887,3431,6,8,RESP,3,3,,,13,PASS,PASS
2888,3432,7,1,REQ,1,3,,,13,PASS,PASS
2888,3433,1,3,RESP,3,7,,,21,PASS,PASS
2888,3434,6,2,RESP,2,7,,,27,PASS,PASS
2889,3435,4,1,RESP,2,6,,,16,PASS,PASS
2889,3436,1,7,RESP,2,4,,,15,PASS,PASS
2889,3437,3,7,REQ,0,3,,,14,PASS,PASS
2890,3438,7,0,REQ,0,7,,,24,PASS,PASS
2890,3439,3,8,REQ,1,4,,,18,PASS,PASS
2890,3440,8,3,RESP,2,2,,,14,PASS,PASS
2891,3441,2,6,RESP,3,5,,,23,PASS,PASS
2891,3442,5,0,REQ,0,6,,,22,PASS,PASS
2891,3443,4,7,RESP,2,5,,,14,PASS,PASS
2892,3444,2,3,REQ,1,3,,,16,PASS,PASS
2892,3445,7,0,REQ,0,7,,,24,PASS,PASS
2892,3446,4,3,RESP,2,6,,,17,PASS,PASS
2893,3447,4,3,REQ,1,2,,,8,PASS,PASS
2893,3448,0,7,REQ,0,2,,,14,PASS,PASS
2893,3449,7,0,REQ,1,3,,,16,PASS,PASS
2894,3450,2,5,RESP,2,3,,,11,PASS,PASS
2894,3451,8,5,REQ,1,2,,,8,PASS,PASS
2894,3452,7,1,REQ,0,5,,,17,PASS,PASS
2895,3453,2,5,REQ,1,3,,,10,PASS,PASS
2895,3454,8,0,RESP,2,5,,,23,PASS,PASS
2895,3455,0,2,REQ,1,5,,,17,PASS,PASS
2896,3456,2,8,RESP,3,5,,,17,PASS,PASS
2896,3457,5,7,RESP,3,5,,,17,PASS,PASS
2896,3458,0,3,RESP,2,6,,,16,PASS,PASS
2897,3459,6,1,RESP,2,6,,,22,PASS,PASS
2897,3460,4,7,RESP,2,7,,,18,PASS,PASS
2897,3461,2,3,RESP,3,7,,,24,PASS,PASS
2898,3462,0,8,RESP,3,2,,,17,PASS,PASS
2898,3463,8,0,REQ,0,2,,,17,PASS,PASS
2898,3464,7,0,RESP,2,2,,,14,PASS,PASS
2899,3465,5,4,REQ,0,6,,,16,PASS,PASS
2899,3466,6,7,REQ,0,5,,,14,PASS,PASS
2899,3467,3,1,RESP,2,6,,,19,PASS,PASS
2900,3468,7,6,RESP,2,6,,,16,PASS,PASS
2900,3469,8,6,RESP,2,5,,,17,PASS,PASS
2900,3470,1,2,REQ,0,3,,,10,PASS,PASS
2901,3471,2,1,RESP,2,6,,,16,PASS,PASS
2901,3472,0,6,REQ,1,3,,,13,PASS,PASS
2901,3473,8,5,RESP,3,2,,,8,PASS,PASS
2902,3474,6,1,RESP,3,3,,,16,PASS,PASS
2902,3475,8,6,REQ,1,2,,,11,PASS,PASS
2902,3476,5,7,RESP,3,7,,,21,PASS,PASS
2903,3477,8,4,RESP,2,6,,,19,PASS,PASS
2903,3478,6,3,REQ,1,7,,,18,PASS,PASS
2903,3479,5,6,RESP,3,7,,,24,PASS,PASS
2904,3480,4,5,REQ,1,2,,,9,PASS,PASS
2904,3481,1,6,REQ,0,4,,,18,PASS,PASS
2904,3482,2,5,REQ,1,3,,,10,PASS,PASS
2905,3483,0,2,RESP,3,6,,,19,PASS,PASS
2905,3484,2,8,RESP,3,6,,,19,PASS,PASS
2905,3485,6,7,RESP,2,7,,,18,PASS,PASS
2906,3486,7,3,RESP,2,6,,,19,PASS,PASS
2906,3487,4,0,REQ,0,3,,,13,PASS,PASS
2906,3488,0,4,REQ,0,2,,,11,PASS,PASS
2907,3489,0,8,RESP,3,6,,,25,PASS,PASS
2907,3490,6,0,REQ,0,7,,,21,PASS,PASS
2907,3491,5,8,REQ,0,5,,,14,PASS,PASS
2908,3492,1,7,RESP,3,3,,,13,PASS,PASS
2908,3493,8,6,REQ,0,2,,,11,PASS,PASS
2908,3494,5,3,REQ,1,7,,,21,PASS,PASS
2909,3495,7,4,REQ,0,3,,,10,PASS,PASS
2909,3496,4,7,REQ,1,4,,,12,PASS,PASS
2909,3497,3,6,RESP,3,6,,,16,PASS,PASS
2910,3498,7,5,RESP,2,4,,,15,PASS,PASS
2910,3499,8,3,RESP,3,6,,,22,PASS,PASS
2910,3500,1,6,REQ,1,3,,,16,PASS,PASS
2911,3501,3,7,REQ,0,3,,,13,PASS,PASS
2911,3502,2,4,RESP,3,5,,,17,PASS,PASS
2911,3503,0,2,RESP,2,4,,,15,PASS,PASS
2912,3504,0,6,RESP,3,2,,,11,PASS,PASS
2912,3505,5,8,RESP,2,5,,,14,PASS,PASS
2912,3506,6,3,REQ,1,4,,,12,PASS,PASS
2913,3507,7,0,RESP,2,2,,,14,PASS,PASS
2913,3508,2,4,RESP,3,2,,,11,PASS,PASS
2913,3509,0,5,RESP,3,4,,,18,PASS,PASS
2914,3510,8,7,RESP,3,3,,,10,PASS,PASS
2914,3511,1,0,REQ,0,5,,,14,PASS,PASS
2914,3512,2,4,RESP,2,4,,,15,PASS,PASS
2915,3513,2,6,RESP,3,6,,,25,PASS,PASS
2915,3514,0,5,RESP,2,7,,,24,PASS,PASS
2915,3515,7,6,RESP,3,6,,,16,PASS,PASS
2916,3516,5,6,RESP,3,5,,,20,PASS,PASS
2916,3517,0,2,REQ,1,2,,,11,PASS,PASS
2916,3518,4,0,REQ,0,4,,,15,PASS,PASS
2917,3519,8,1,RESP,3,2,,,14,PASS,PASS
2917,3520,5,3,REQ,0,3,,,13,PASS,PASS
2917,3521,0,4,RESP,2,7,,,21,PASS,PASS
2918,3522,0,3,REQ,1,5,,,14,PASS,PASS
2918,3523,6,7,RESP,3,5,,,14,PASS,PASS
2918,3524,1,3,RESP,3,7,,,21,PASS,PASS
2919,3525,0,3,RESP,3,4,,,12,PASS,PASS
2919,3526,1,2,RESP,3,4,,,12,PASS,PASS
2919,3527,8,4,RESP,2,7,,,21,PASS,PASS
2920,3528,0,5,RESP,2,7,,,24,PASS,PASS
2920,3529,8,0,RESP,2,7,,,27,PASS,PASS
2920,3530,4,5,REQ,0,4,,,13,PASS,PASS
2921,3531,4,0,RESP,3,3,,,13,PASS,PASS
2921,3532,2,8,RESP,2,2,,,11,PASS,PASS
2921,3533,3,7,RESP,3,5,,,17,PASS,PASS
2922,3534,3,5,RESP,2,5,,,17,PASS,PASS
2922,3535,6,4,REQ,1,3,,,13,PASS,PASS
2922,3536,1,3,RESP,3,4,,,15,PASS,PASS
2923,3537,5,3,REQ,0,4,,,15,PASS,PASS
2923,3538,8,0,RESP,2,2,,,17,PASS,PASS
2923,3539,4,5,REQ,1,6,,,16,PASS,PASS
2924,3540,0,1,REQ,0,4,,,12,PASS,PASS
2924,3541,1,2,RESP,3,6,,,16,PASS,PASS
2924,3542,4,7,RESP,3,7,,,18,PASS,PASS
