case_id,pkt_done,case_pass,case_fail,latency_sum,latency_min,latency_max,latency_avg
506,2,2,0,18,6,12,9.0
507,2,2,0,12,6,6,6.0
508,2,2,0,24,9,15,12.0
509,2,2,0,15,6,9,7.5
510,2,2,0,27,12,15,13.5
511,2,2,0,18,6,12,9.0
512,2,2,0,18,9,9,9.0
513,2,2,0,18,9,9,9.0
514,2,2,0,15,6,9,7.5
515,2,2,0,18,6,12,9.0
516,2,2,0,12,6,6,6.0
517,2,2,0,18,6,12,9.0
518,2,2,0,12,6,6,6.0
519,2,2,0,15,6,9,7.5
520,2,2,0,15,6,9,7.5
521,2,2,0,15,6,9,7.5
522,2,2,0,15,6,9,7.5
523,2,2,0,12,6,6,6.0
524,2,2,0,15,6,9,7.5
525,2,2,0,12,6,6,6.0
526,2,2,0,24,12,12,12.0
527,2,2,0,21,9,12,10.5
528,2,2,0,21,9,12,10.5
529,2,2,0,15,6,9,7.5
530,2,2,0,18,9,9,9.0
531,2,2,0,18,6,12,9.0
532,2,2,0,18,6,12,9.0
533,2,2,0,15,6,9,7.5
534,2,2,0,15,6,9,7.5
535,2,2,0,18,6,12,9.0
536,2,2,0,18,9,9,9.0
537,2,2,0,24,12,12,12.0
538,2,2,0,15,6,9,7.5
539,2,2,0,15,6,9,7.5
540,2,2,0,15,6,9,7.5
541,2,2,0,21,9,12,10.5
542,2,2,0,24,12,12,12.0
543,2,2,0,15,6,9,7.5
544,2,2,0,22,10,12,11.0
545,2,2,0,12,6,6,6.0
546,2,2,0,15,6,9,7.5
547,2,2,0,21,9,12,10.5
548,2,2,0,21,9,12,10.5
549,2,2,0,15,6,9,7.5
550,2,2,0,24,9,15,12.0
551,2,2,0,13,6,7,6.5
552,2,2,0,18,6,12,9.0
553,2,2,0,18,9,9,9.0
554,2,2,0,15,6,9,7.5
555,2,2,0,24,12,12,12.0
556,2,2,0,21,9,12,10.5
557,2,2,0,15,6,9,7.5
558,2,2,0,18,6,12,9.0
559,2,2,0,24,12,12,12.0
560,2,2,0,15,6,9,7.5
561,2,2,0,24,12,12,12.0
562,2,2,0,15,6,9,7.5
563,2,2,0,12,6,6,6.0
564,2,2,0,15,6,9,7.5
565,2,2,0,18,6,12,9.0
566,2,2,0,15,6,9,7.5
567,2,2,0,15,6,9,7.5
568,2,2,0,21,9,12,10.5
569,2,2,0,18,9,9,9.0
570,2,2,0,24,12,12,12.0
571,2,2,0,12,6,6,6.0
572,2,2,0,18,9,9,9.0
573,2,2,0,21,9,12,10.5
574,2,2,0,27,12,15,13.5
575,2,2,0,21,9,12,10.5
576,2,2,0,21,9,12,10.5
577,2,2,0,15,6,9,7.5
578,2,2,0,15,6,9,7.5
579,2,2,0,15,6,9,7.5
580,2,2,0,18,6,12,9.0
581,2,2,0,21,9,12,10.5
582,2,2,0,15,6,9,7.5
583,2,2,0,18,9,9,9.0
584,2,2,0,21,9,12,10.5
585,2,2,0,12,6,6,6.0
586,2,2,0,21,9,12,10.5
587,2,2,0,15,6,9,7.5
588,2,2,0,24,12,12,12.0
589,2,2,0,18,6,12,9.0
590,2,2,0,15,6,9,7.5
591,2,2,0,12,6,6,6.0
592,2,2,0,15,6,9,7.5
593,2,2,0,15,6,9,7.5
594,2,2,0,24,9,15,12.0
